Date,Time,Topic,Message
2019-11-24,14:58:55,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2063869 1576325398131 
2064150 1576325398185 
2064354 1576325398231 
2064409 1576325398284 
2064014 1576325398332 
2064195 1576325398384 
2063425 1576325398432 
2064331 1576325398484 
2063724 1576325398531 
2063882 1576325398584 
2065557 1576325398631 
2068943 1576325398684 
2064065 1576325398735 
2074684 1576325398784 
2065329 1576325398831 
2063913 1576325398884 
2064369 1576325398931 
2063812 1576325398983 
2063898 1576325399032 
2063775 1576325399085 
"
2019-11-24,14:58:56,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2064175 1576325399132 
2064672 1576325399186 
2063973 1576325399232 
2063783 1576325399284 
2065698 1576325399332 
2063673 1576325399384 
2063454 1576325399431 
2061330 1576325399487 
2060288 1576325399533 
2058502 1576325399586 
2056456 1576325399636 
2054108 1576325399691 
2052751 1576325399733 
2052623 1576325399803 
2054016 1576325399832 
2051597 1576325399884 
2057657 1576325399935 
2051418 1576325399983 
2053874 1576325400043 
2055651 1576325400083 
"
2019-11-24,14:58:56,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2059946 1576325400132 
2058914 1576325400184 
2052417 1576325400234 
2050643 1576325400286 
2050109 1576325400334 
2024959 1576325400385 
2024540 1576325400433 
2023689 1576325400484 
2018219 1576325400533 
2014743 1576325400584 
2011483 1576325400632 
2010609 1576325400684 
2010798 1576325400733 
2009914 1576325400784 
2010407 1576325400833 
2008604 1576325400884 
2008509 1576325400932 
2009562 1576325400983 
2009918 1576325401032 
2009169 1576325401085 
"
2019-11-24,14:58:57,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","2011495 1576325401134 
2013493 1576325401185 
2009385 1576325401233 
2009791 1576325401285 
2008363 1576325401334 
2008227 1576325401385 
2007780 1576325401433 
2008022 1576325401485 
2007013 1576325401533 
2006273 1576325401585 
2006466 1576325401632 
2006331 1576325401684 
2006903 1576325401751 
2006160 1576325401784 
2005232 1576325401831 
2004107 1576325401885 
2002690 1576325401952 
2001247 1576325401992 
1998564 1576325402033 
1995226 1576325402072 
"
2019-11-24,14:58:58,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1995226 1576325402114 
1992099 1576325402154 
1990270 1576325402194 
1988574 1576325402234 
1986325 1576325402274 
1986325 1576325402314 
1985720 1576325402354 
1984345 1576325402394 
1983912 1576325402434 
1983172 1576325402474 
1983172 1576325402513 
1982779 1576325402553 
1982389 1576325402593 
1987194 1576325402633 
1986636 1576325402673 
1986636 1576325402713 
2004262 1576325402753 
1984314 1576325402793 
1981781 1576325402834 
1981501 1576325402873 
"
2019-11-24,14:58:59,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1981501 1576325402914 
1981007 1576325402955 
1981029 1576325402993 
1981224 1576325403035 
1980442 1576325403075 
1980442 1576325403114 
1980667 1576325403154 
1983261 1576325403194 
1983814 1576325403234 
1985698 1576325403274 
1985698 1576325403314 
1981634 1576325403362 
1980791 1576325403393 
1980762 1576325403434 
1980582 1576325403474 
1980582 1576325403513 
1979824 1576325403553 
1979589 1576325403593 
1980052 1576325403633 
1980359 1576325403698 
"
2019-11-24,14:59:00,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1980359 1576325403713 
1979768 1576325403753 
1978703 1576325403805 
1977670 1576325403834 
1977200 1576325403875 
1977200 1576325403914 
1977467 1576325403954 
1977485 1576325403993 
1976721 1576325404035 
1976479 1576325404074 
1976479 1576325404114 
1977482 1576325404154 
1977872 1576325404194 
1976955 1576325404234 
1977133 1576325404274 
1977133 1576325404316 
1976682 1576325404354 
1976681 1576325404394 
1976216 1576325404434 
1975404 1576325404474 
"
2019-11-24,14:59:01,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1975404 1576325404515 
1976607 1576325404555 
1977147 1576325404595 
1977531 1576325404635 
1976839 1576325404675 
1976839 1576325404715 
1976326 1576325404755 
1977169 1576325404794 
1978100 1576325404835 
1976484 1576325404875 
1976484 1576325404914 
1975640 1576325404954 
1975394 1576325404993 
1976280 1576325405035 
1976181 1576325405074 
1976181 1576325405114 
1975415 1576325405153 
1975105 1576325405197 
1974790 1576325405234 
1975627 1576325405274 
"
2019-11-24,14:59:02,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1975627 1576325405314 
1981818 1576325405355 
1981377 1576325405395 
2043536 1576325405435 
1981702 1576325405475 
1981702 1576325405515 
1976987 1576325405555 
1976098 1576325405596 
1977402 1576325405635 
1975986 1576325405674 
1975986 1576325405714 
1985674 1576325405754 
1976181 1576325405794 
1974968 1576325405835 
1974741 1576325405874 
1974741 1576325405914 
1974503 1576325405954 
1974865 1576325405993 
1975523 1576325406034 
1975514 1576325406074 
"
2019-11-24,14:59:02,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1975514 1576325406114 
1975131 1576325406155 
1974143 1576325406195 
1973861 1576325406235 
1974324 1576325406275 
1974324 1576325406315 
1974864 1576325406355 
1974572 1576325406395 
1974106 1576325406436 
1973683 1576325406475 
1973683 1576325406514 
1974270 1576325406556 
1975459 1576325406594 
1974492 1576325406635 
1974786 1576325406675 
1974786 1576325406714 
1974715 1576325406754 
1973902 1576325406794 
2000888 1576325406835 
1976610 1576325406874 
"
2019-11-24,14:59:03,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1976610 1576325406915 
1973863 1576325406955 
1973027 1576325406994 
1974389 1576325407036 
1975110 1576325407075 
1975110 1576325407115 
1975039 1576325407156 
1974248 1576325407195 
1973702 1576325407236 
1973498 1576325407275 
1973498 1576325407315 
1973640 1576325407355 
1973740 1576325407396 
1973811 1576325407435 
1972866 1576325407474 
1972866 1576325407515 
1975273 1576325407554 
1974800 1576325407594 
1975000 1576325407635 
1974341 1576325407674 
"
2019-11-24,14:59:04,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1974341 1576325407715 
1973349 1576325407756 
1973769 1576325407795 
1973472 1576325407837 
1973501 1576325407876 
1973501 1576325407915 
1974397 1576325407957 
1986338 1576325407995 
1983786 1576325408036 
2062866 1576325408077 
2062866 1576325408115 
1983473 1576325408155 
1981497 1576325408195 
1973975 1576325408235 
1973256 1576325408275 
1973256 1576325408315 
1973474 1576325408355 
1972938 1576325408395 
1972991 1576325408436 
1972677 1576325408476 
"
2019-11-24,14:59:05,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1972677 1576325408515 
1973816 1576325408555 
1973542 1576325408596 
1973926 1576325408636 
1973004 1576325408676 
1973004 1576325408717 
1972767 1576325408755 
1973283 1576325408795 
1973421 1576325408836 
1972771 1576325408875 
1972771 1576325408915 
1972861 1576325408956 
1973446 1576325408994 
1973664 1576325409036 
2000164 1576325409076 
2000164 1576325409115 
1975702 1576325409155 
1972748 1576325409196 
1972442 1576325409235 
1972999 1576325409276 
"
2019-11-24,14:59:05,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1972999 1576325409315 
1972879 1576325409355 
1972735 1576325409397 
1972468 1576325409437 
1971756 1576325409477 
1971756 1576325409516 
1972499 1576325409556 
1973036 1576325409596 
1973154 1576325409636 
1973147 1576325409676 
1973147 1576325409716 
1972588 1576325409755 
1971783 1576325409796 
1979900 1576325409836 
1972906 1576325409875 
1972906 1576325409916 
1972366 1576325409955 
1971503 1576325409994 
1972458 1576325410036 
1973237 1576325410075 
"
2019-11-24,14:59:06,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1973237 1576325410116 
1973209 1576325410156 
1972750 1576325410196 
1971859 1576325410237 
1971938 1576325410278 
1971938 1576325410316 
1972875 1576325410356 
1972798 1576325410397 
1972593 1576325410437 
1971491 1576325410476 
1971491 1576325410516 
1972615 1576325410556 
1973035 1576325410596 
1972451 1576325410637 
1971827 1576325410676 
1971827 1576325410716 
1972340 1576325410756 
1971681 1576325410796 
1972398 1576325410836 
1971687 1576325410876 
"
2019-11-24,14:59:07,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1971687 1576325410916 
1971534 1576325410957 
1971493 1576325410996 
1972525 1576325411039 
1972452 1576325411077 
1972452 1576325411119 
1976539 1576325411157 
1972425 1576325411196 
2047572 1576325411238 
1978570 1576325411277 
1978570 1576325411317 
1972215 1576325411365 
1971631 1576325411396 
1978347 1576325411437 
1973120 1576325411477 
1973120 1576325411516 
2078693 1576325411556 
1982735 1576325411596 
1972022 1576325411636 
1970654 1576325411676 
"
2019-11-24,14:59:08,"/PRECISE/IoMT/GearFit2/Data/c5c1928d-72ac-4dbc-8ff3-01cdc43f72f6/HR","1970654 1576325411716 
1971230 1576325411757 
1970781 1576325411797 
1970691 1576325411838 
1970636 1576325411877 
1970636 1576325411917 
1970739 1576325411958 
1971089 1576325411996 
1971863 1576325412038 
1971598 1576325412077 
1971598 1576325412117 
1970660 1576325412169 
1970806 1576325412197 
1970432 1576325412237 
1970894 1576325412276 
1970894 1576325412317 
1970661 1576325412356 
1970535 1576325412396 
1970797 1576325412437 
1971330 1576325412476 
"
